ngo_name,darpan_id,state,district,sector,legal_form,year_of_reg,fcra_status,is_active,source,ngo_age_years,is_old_ngo,fcra_registered,sector_enc,legal_form_enc,state_enc
Vikas Women Empowerment Development Institute,KA/2021/0001280,Karnataka,Karnataka District 15,Women Empowerment,Trust,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,10,2,4
Jan Healthcare Charitable Trust,KA/1992/0001281,Karnataka,Karnataka District 19,Healthcare,Trust,1992,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,5,2,4
Jeevan Women Empowerment Foundation,KA/2016/0001282,Karnataka,Karnataka District 10,Women Empowerment,Section 8 Company,2016,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,10,0,4
Sewa Environment Welfare Organization,KA/2021/0001283,Karnataka,Karnataka District 18,Environment,Section 8 Company,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,4,0,4
Sewa Environment Development Institute,KA/2021/0001284,Karnataka,Karnataka District 15,Environment,Section 8 Company,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,4,0,4
Vikas Healthcare Society,KA/2001/0001285,Karnataka,Karnataka District 18,Healthcare,Section 8 Company,2001,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,0,4
Pragati Education Foundation,KA/1990/0001286,Karnataka,Karnataka District 14,Education,Section 8 Company,1990,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,1,3,0,4
Gram Healthcare Trust,KA/2019/0001287,Karnataka,Karnataka District 12,Healthcare,Society,2019,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,1,5,1,4
Samaj Environment Seva Sansthan,KA/2016/0001288,Karnataka,Karnataka District 1,Environment,Society,2016,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,1,4,1,4
Sahyog Education Development Institute,KA/2017/0001289,Karnataka,Karnataka District 6,Education,Section 8 Company,2017,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,3,0,4
Swasthya Healthcare Society,KA/2006/0001290,Karnataka,Karnataka District 12,Healthcare,Society,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,5,1,4
Unnati Women Empowerment Trust,KA/2005/0001291,Karnataka,Karnataka District 8,Women Empowerment,Trust,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,10,2,4
Shiksha Education Foundation,KA/2020/0001292,Karnataka,Karnataka District 2,Education,Trust,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,3,2,4
Nari Environment Trust,KA/2011/0001293,Karnataka,Karnataka District 19,Environment,Trust,2011,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),14,1,0,4,2,4
Swasthya Healthcare Foundation,KA/2020/0001294,Karnataka,Karnataka District 9,Healthcare,Society,2020,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,5,1,4
Shiksha Education Development Institute,KA/2010/0001295,Karnataka,Karnataka District 1,Education,Society,2010,Applied,No,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,3,1,4
Manav Environment Society,KA/2005/0001296,Karnataka,Karnataka District 19,Environment,Society,2005,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,4,1,4
Unnati Environment Charitable Trust,KA/1995/0001297,Karnataka,Karnataka District 17,Environment,Section 8 Company,1995,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,1,4,0,4
Vikas Education Foundation,KA/1994/0001298,Karnataka,Karnataka District 11,Education,Trust,1994,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,1,3,2,4
Samaj Women Empowerment Samiti,KA/2018/0001299,Karnataka,Karnataka District 16,Women Empowerment,Society,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,10,1,4
Sarva Healthcare Samiti,RA/2014/0001300,Rajasthan,Rajasthan District 3,Healthcare,Society,2014,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,5,1,8
Kalyan Rural Development Welfare Organization,RA/2014/0001301,Rajasthan,Rajasthan District 5,Rural Development,Society,2014,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,7,1,8
Sewa Rural Development Charitable Trust,RA/2009/0001302,Rajasthan,Rajasthan District 15,Rural Development,Society,2009,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,7,1,8
Sahyog Education Trust,RA/2018/0001303,Rajasthan,Rajasthan District 18,Education,Society,2018,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,1,3,1,8
Shakti Rural Development Trust,RA/1995/0001304,Rajasthan,Rajasthan District 20,Rural Development,Society,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,7,1,8
Sewa Rural Development Samiti,RA/1995/0001305,Rajasthan,Rajasthan District 18,Rural Development,Trust,1995,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,7,2,8
Gram Healthcare Society,RA/2009/0001306,Rajasthan,Rajasthan District 9,Healthcare,Society,2009,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,5,1,8
Shiksha Healthcare Society,RA/2020/0001307,Rajasthan,Rajasthan District 3,Healthcare,Trust,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,5,2,8
Gram Education Seva Sansthan,RA/2009/0001308,Rajasthan,Rajasthan District 1,Education,Trust,2009,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,3,2,8
Sewa Women Empowerment Samiti,RA/1998/0001309,Rajasthan,Rajasthan District 10,Women Empowerment,Trust,1998,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,0,10,2,8
Bal Women Empowerment Seva Sansthan,RA/2010/0001310,Rajasthan,Rajasthan District 10,Women Empowerment,Society,2010,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,10,1,8
Jan Women Empowerment Welfare Organization,RA/2015/0001311,Rajasthan,Rajasthan District 12,Women Empowerment,Trust,2015,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,1,10,2,8
Manav Education Welfare Organization,RA/1991/0001312,Rajasthan,Rajasthan District 15,Education,Section 8 Company,1991,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,0,3,0,8
Bal Women Empowerment Seva Sansthan,RA/2016/0001313,Rajasthan,Rajasthan District 16,Women Empowerment,Section 8 Company,2016,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,1,10,0,8
Kalyan Women Empowerment Welfare Organization,RA/2017/0001314,Rajasthan,Rajasthan District 13,Women Empowerment,Section 8 Company,2017,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,1,10,0,8
Samaj Healthcare Seva Sansthan,RA/2016/0001315,Rajasthan,Rajasthan District 18,Healthcare,Section 8 Company,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,5,0,8
Vikas Rural Development Trust,RA/2012/0001316,Rajasthan,Rajasthan District 6,Rural Development,Society,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,7,1,8
Pragati Women Empowerment Samiti,RA/1996/0001317,Rajasthan,Rajasthan District 9,Women Empowerment,Trust,1996,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,1,10,2,8
Lok Healthcare Welfare Organization,RA/2022/0001318,Rajasthan,Rajasthan District 5,Healthcare,Trust,2022,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,5,2,8
Asha Rural Development Seva Sansthan,RA/1995/0001319,Rajasthan,Rajasthan District 4,Rural Development,Trust,1995,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,7,2,8
Jeevan Women Empowerment Charitable Trust,RA/2003/0001320,Rajasthan,Rajasthan District 17,Women Empowerment,Trust,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,10,2,8
Jan Healthcare Trust,RA/2010/0001321,Rajasthan,Rajasthan District 3,Healthcare,Section 8 Company,2010,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,5,0,8
Swasthya Women Empowerment Foundation,RA/2000/0001322,Rajasthan,Rajasthan District 8,Women Empowerment,Section 8 Company,2000,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,1,10,0,8
Sarva Women Empowerment Society,RA/2019/0001323,Rajasthan,Rajasthan District 8,Women Empowerment,Section 8 Company,2019,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,0,10,0,8
Nari Healthcare Society,RA/2002/0001324,Rajasthan,Rajasthan District 15,Healthcare,Trust,2002,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),23,1,1,5,2,8
Unnati Education Foundation,RA/1994/0001325,Rajasthan,Rajasthan District 19,Education,Society,1994,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,1,3,1,8
Sarva Women Empowerment Society,RA/1997/0001326,Rajasthan,Rajasthan District 9,Women Empowerment,Trust,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,10,2,8
Jan Healthcare Charitable Trust,RA/1997/0001327,Rajasthan,Rajasthan District 12,Healthcare,Section 8 Company,1997,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,0,5,0,8
Nav Women Empowerment Society,RA/1998/0001328,Rajasthan,Rajasthan District 11,Women Empowerment,Section 8 Company,1998,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,0,10,0,8
Kalyan Education Trust,RA/2022/0001329,Rajasthan,Rajasthan District 13,Education,Trust,2022,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,3,2,8
Jeevan Healthcare Samiti,RA/2001/0001330,Rajasthan,Rajasthan District 18,Healthcare,Society,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,1,8
Kalyan Education Society,RA/1993/0001331,Rajasthan,Rajasthan District 12,Education,Trust,1993,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,3,2,8
Jan Education Society,RA/2022/0001332,Rajasthan,Rajasthan District 16,Education,Trust,2022,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),3,0,0,3,2,8
Jan Healthcare Samiti,RA/1991/0001333,Rajasthan,Rajasthan District 8,Healthcare,Trust,1991,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),34,1,1,5,2,8
Sahyog Women Empowerment Welfare Organization,RA/2021/0001334,Rajasthan,Rajasthan District 18,Women Empowerment,Society,2021,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),4,0,0,10,1,8
Manav Women Empowerment Trust,RA/2013/0001335,Rajasthan,Rajasthan District 18,Women Empowerment,Section 8 Company,2013,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,10,0,8
Pragati Education Seva Sansthan,RA/2005/0001336,Rajasthan,Rajasthan District 10,Education,Trust,2005,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,3,2,8
Pragati Women Empowerment Seva Sansthan,RA/1995/0001337,Rajasthan,Rajasthan District 15,Women Empowerment,Trust,1995,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,10,2,8
Swasthya Education Welfare Organization,RA/2012/0001338,Rajasthan,Rajasthan District 20,Education,Section 8 Company,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,3,0,8
Nari Education Society,RA/2012/0001339,Rajasthan,Rajasthan District 18,Education,Society,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,3,1,8
Sarva Women Empowerment Society,RA/2007/0001340,Rajasthan,Rajasthan District 17,Women Empowerment,Section 8 Company,2007,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,1,10,0,8
Swasthya Healthcare Society,RA/1998/0001341,Rajasthan,Rajasthan District 5,Healthcare,Society,1998,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,0,5,1,8
Sewa Healthcare Welfare Organization,RA/2007/0001342,Rajasthan,Rajasthan District 14,Healthcare,Trust,2007,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,1,5,2,8
Shiksha Healthcare Trust,RA/2013/0001343,Rajasthan,Rajasthan District 15,Healthcare,Section 8 Company,2013,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,0,5,0,8
Sewa Rural Development Foundation,RA/2012/0001344,Rajasthan,Rajasthan District 3,Rural Development,Section 8 Company,2012,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,7,0,8
Unnati Healthcare Welfare Organization,RA/2010/0001345,Rajasthan,Rajasthan District 10,Healthcare,Society,2010,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,0,5,1,8
Manav Healthcare Society,RA/1993/0001346,Rajasthan,Rajasthan District 2,Healthcare,Trust,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,5,2,8
Nav Rural Development Foundation,RA/1990/0001347,Rajasthan,Rajasthan District 14,Rural Development,Society,1990,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,7,1,8
Jeevan Education Development Institute,RA/2013/0001348,Rajasthan,Rajasthan District 9,Education,Trust,2013,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,1,3,2,8
Nari Healthcare Foundation,RA/2004/0001349,Rajasthan,Rajasthan District 14,Healthcare,Section 8 Company,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,0,8
Swasthya Skill Development Foundation,GU/2004/0001350,Gujarat,Gujarat District 17,Skill Development,Trust,2004,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,1,8,2,2
Asha Community Development Foundation,GU/2017/0001351,Gujarat,Gujarat District 5,Community Development,Society,2017,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,0,0,1,2
Gram Education Samiti,GU/1996/0001352,Gujarat,Gujarat District 11,Education,Section 8 Company,1996,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),29,1,0,3,0,2
Kalyan Healthcare Society,GU/1999/0001353,Gujarat,Gujarat District 3,Healthcare,Society,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,5,1,2
Asha Healthcare Society,GU/1999/0001354,Gujarat,Gujarat District 14,Healthcare,Trust,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,5,2,2
Nav Education Welfare Organization,GU/1997/0001355,Gujarat,Gujarat District 19,Education,Society,1997,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,1,3,1,2
Vikas Community Development Samiti,GU/1995/0001356,Gujarat,Gujarat District 8,Community Development,Society,1995,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,1,0,1,2
Samaj Education Development Institute,GU/2003/0001357,Gujarat,Gujarat District 17,Education,Section 8 Company,2003,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,0,3,0,2
Bal Community Development Samiti,GU/2005/0001358,Gujarat,Gujarat District 16,Community Development,Section 8 Company,2005,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,0,0,2
Gram Education Seva Sansthan,GU/1990/0001359,Gujarat,Gujarat District 12,Education,Section 8 Company,1990,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,3,0,2
Jeevan Healthcare Samiti,GU/2001/0001360,Gujarat,Gujarat District 16,Healthcare,Trust,2001,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,5,2,2
Shiksha Education Foundation,GU/1992/0001361,Gujarat,Gujarat District 2,Education,Society,1992,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,1,3,1,2
Unnati Healthcare Development Institute,GU/1995/0001362,Gujarat,Gujarat District 18,Healthcare,Trust,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,5,2,2
Jeevan Education Development Institute,GU/2003/0001363,Gujarat,Gujarat District 5,Education,Trust,2003,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,1,3,2,2
Unnati Community Development Trust,GU/2005/0001364,Gujarat,Gujarat District 2,Community Development,Section 8 Company,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,0,0,2
Shakti Healthcare Trust,GU/2009/0001365,Gujarat,Gujarat District 6,Healthcare,Section 8 Company,2009,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,0,5,0,2
Jeevan Skill Development Foundation,GU/2006/0001366,Gujarat,Gujarat District 6,Skill Development,Trust,2006,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,8,2,2
Sahyog Education Trust,GU/2007/0001367,Gujarat,Gujarat District 17,Education,Trust,2007,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),18,1,0,3,2,2
Manav Healthcare Trust,GU/1993/0001368,Gujarat,Gujarat District 16,Healthcare,Trust,1993,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,5,2,2
Nari Skill Development Charitable Trust,GU/1997/0001369,Gujarat,Gujarat District 8,Skill Development,Trust,1997,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),28,1,0,8,2,2
Asha Education Foundation,GU/2013/0001370,Gujarat,Gujarat District 13,Education,Society,2013,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),12,1,1,3,1,2
Nari Healthcare Foundation,GU/2016/0001371,Gujarat,Gujarat District 11,Healthcare,Society,2016,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,5,1,2
Shiksha Education Charitable Trust,GU/1993/0001372,Gujarat,Gujarat District 6,Education,Section 8 Company,1993,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,0,3,0,2
Lok Healthcare Foundation,GU/2008/0001373,Gujarat,Gujarat District 10,Healthcare,Society,2008,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),17,1,0,5,1,2
Sarva Education Seva Sansthan,GU/2009/0001374,Gujarat,Gujarat District 20,Education,Trust,2009,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),16,1,1,3,2,2
Vikas Skill Development Seva Sansthan,GU/2005/0001375,Gujarat,Gujarat District 5,Skill Development,Section 8 Company,2005,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,8,0,2
Shakti Skill Development Foundation,GU/1990/0001376,Gujarat,Gujarat District 11,Skill Development,Section 8 Company,1990,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,8,0,2
Unnati Education Development Institute,GU/2005/0001377,Gujarat,Gujarat District 14,Education,Society,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,3,1,2
Pragati Community Development Society,GU/2004/0001378,Gujarat,Gujarat District 17,Community Development,Society,2004,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,1,0,1,2
Vikas Education Seva Sansthan,GU/1998/0001379,Gujarat,Gujarat District 13,Education,Section 8 Company,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,3,0,2
Manav Healthcare Foundation,GU/2005/0001380,Gujarat,Gujarat District 10,Healthcare,Section 8 Company,2005,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,5,0,2
Sewa Community Development Samiti,GU/2004/0001381,Gujarat,Gujarat District 3,Community Development,Trust,2004,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,0,2,2
Jeevan Skill Development Trust,GU/2019/0001382,Gujarat,Gujarat District 11,Skill Development,Society,2019,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),6,0,1,8,1,2
Sarva Skill Development Charitable Trust,GU/2006/0001383,Gujarat,Gujarat District 4,Skill Development,Trust,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,8,2,2
Kalyan Skill Development Foundation,GU/2005/0001384,Gujarat,Gujarat District 12,Skill Development,Trust,2005,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,8,2,2
Pragati Community Development Development Institute,GU/2015/0001385,Gujarat,Gujarat District 15,Community Development,Society,2015,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),10,0,1,0,1,2
Sarva Education Welfare Organization,GU/1998/0001386,Gujarat,Gujarat District 4,Education,Trust,1998,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,1,3,2,2
Gram Skill Development Society,GU/1995/0001387,Gujarat,Gujarat District 19,Skill Development,Trust,1995,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,0,8,2,2
Shiksha Education Foundation,GU/2018/0001388,Gujarat,Gujarat District 5,Education,Society,2018,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,3,1,2
Sewa Education Trust,GU/2017/0001389,Gujarat,Gujarat District 13,Education,Trust,2017,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),8,0,1,3,2,2
Unnati Skill Development Samiti,GU/2001/0001390,Gujarat,Gujarat District 9,Skill Development,Trust,2001,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,1,8,2,2
Jeevan Skill Development Foundation,GU/2016/0001391,Gujarat,Gujarat District 18,Skill Development,Section 8 Company,2016,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,1,8,0,2
Shiksha Healthcare Development Institute,GU/2005/0001392,Gujarat,Gujarat District 18,Healthcare,Society,2005,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,0,5,1,2
Unnati Healthcare Charitable Trust,GU/2012/0001393,Gujarat,Gujarat District 19,Healthcare,Section 8 Company,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,5,0,2
Unnati Skill Development Development Institute,GU/2004/0001394,Gujarat,Gujarat District 1,Skill Development,Society,2004,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,8,1,2
Sahyog Healthcare Foundation,GU/2004/0001395,Gujarat,Gujarat District 6,Healthcare,Section 8 Company,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,5,0,2
Gram Education Development Institute,GU/2014/0001396,Gujarat,Gujarat District 12,Education,Society,2014,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,0,3,1,2
Nari Skill Development Society,GU/2012/0001397,Gujarat,Gujarat District 19,Skill Development,Section 8 Company,2012,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,8,0,2
Vikas Skill Development Society,GU/2001/0001398,Gujarat,Gujarat District 16,Skill Development,Trust,2001,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),24,1,0,8,2,2
Pragati Skill Development Welfare Organization,GU/1990/0001399,Gujarat,Gujarat District 11,Skill Development,Society,1990,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),35,1,0,8,1,2
Bal Disability Society,TA/2010/0001400,Tamil Nadu,Tamil Nadu District 2,Disability,Section 8 Company,2010,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),15,1,1,1,0,9
Manav Education Society,TA/1994/0001401,Tamil Nadu,Tamil Nadu District 12,Education,Section 8 Company,1994,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),31,1,0,3,0,9
Unnati Disability Trust,TA/2000/0001402,Tamil Nadu,Tamil Nadu District 14,Disability,Trust,2000,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,0,1,2,9
Jan Healthcare Charitable Trust,TA/2012/0001403,Tamil Nadu,Tamil Nadu District 8,Healthcare,Section 8 Company,2012,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,0,5,0,9
Nari Disability Samiti,TA/1998/0001404,Tamil Nadu,Tamil Nadu District 6,Disability,Section 8 Company,1998,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),27,1,0,1,0,9
Manav Education Samiti,TA/2004/0001405,Tamil Nadu,Tamil Nadu District 19,Education,Society,2004,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),21,1,0,3,1,9
Jan Disability Society,TA/2012/0001406,Tamil Nadu,Tamil Nadu District 11,Disability,Section 8 Company,2012,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),13,1,1,1,0,9
Shiksha Environment Charitable Trust,TA/2005/0001407,Tamil Nadu,Tamil Nadu District 3,Environment,Society,2005,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),20,1,1,4,1,9
Swasthya Education Foundation,TA/2016/0001408,Tamil Nadu,Tamil Nadu District 6,Education,Trust,2016,Not Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),9,0,0,3,2,9
Jan Disability Samiti,TA/2020/0001409,Tamil Nadu,Tamil Nadu District 19,Disability,Section 8 Company,2020,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,1,0,9
Gram Environment Society,TA/1992/0001410,Tamil Nadu,Tamil Nadu District 10,Environment,Society,1992,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),33,1,0,4,1,9
Sahyog Education Trust,TA/2014/0001411,Tamil Nadu,Tamil Nadu District 6,Education,Trust,2014,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),11,1,1,3,2,9
Sarva Disability Trust,TA/2020/0001412,Tamil Nadu,Tamil Nadu District 1,Disability,Section 8 Company,2020,Applied,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),5,0,0,1,0,9
Nari Healthcare Samiti,TA/2003/0001413,Tamil Nadu,Tamil Nadu District 7,Healthcare,Society,2003,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),22,1,1,5,1,9
Sarva Disability Development Institute,TA/1993/0001414,Tamil Nadu,Tamil Nadu District 13,Disability,Trust,1993,Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),32,1,1,1,2,9
Jan Education Society,TA/1995/0001415,Tamil Nadu,Tamil Nadu District 10,Education,Trust,1995,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),30,1,1,3,2,9
Samaj Healthcare Seva Sansthan,TA/2000/0001416,Tamil Nadu,Tamil Nadu District 10,Healthcare,Society,2000,Registered,No,NGO Darpan Reference Data (ngodarpan.gov.in),25,1,1,5,1,9
Jan Disability Trust,TA/2006/0001417,Tamil Nadu,Tamil Nadu District 3,Disability,Trust,2006,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),19,1,0,1,2,9
Unnati Disability Society,TA/2018/0001418,Tamil Nadu,Tamil Nadu District 2,Disability,Trust,2018,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),7,0,0,1,2,9
Nav Healthcare Development Institute,TA/1999/0001419,Tamil Nadu,Tamil Nadu District 4,Healthcare,Trust,1999,Not Registered,Yes,NGO Darpan Reference Data (ngodarpan.gov.in),26,1,0,5,2,9
